state,year,corn_estimate,corn_RSE,corn_stat_unreliable,soy_estimate,soy_RSE,soy_stat_unreliable
ND,2001,114.89,0.0,1.0,252.66,0.0,1.0
SD,2001,398.77,0.0,1.0,2796.68,0.0,0.0
NE,2001,3215.92,0.0,0.0,4186.42,0.0,0.0
KS,2001,922.64,0.0,0.0,1416.65,0.0,0.0
MO,2001,152.78,0.0,1.0,2409.23,0.0,0.0
IA,2001,876.09,0.0,1.0,10520.36,0.0,0.0
MN,2001,1358.64,0.0,0.0,4958.23,0.0,0.0
WI,2001,1373.48,0.0,0.0,1352.16,0.0,0.0
IL,2001,834.15,0.0,1.0,9932.8,0.0,0.0
IN,2001,872.89,0.0,0.0,4669.77,0.0,0.0
KY,2001,449.22,0.0,0.0,388.93,0.0,0.0
OH,2001,389.82,0.0,0.0,2162.11,0.0,0.0
MI,2001,704.96,0.0,0.0,948.85,0.0,0.0
ND,2005,83.71,0.0,1.0,769.41,0.0,0.0
SD,2005,936.64,0.0,0.0,2672.81,0.0,0.0
NE,2005,2518.94,0.0,0.0,4654.01,0.0,0.0
KS,2005,703.7,0.0,1.0,1482.58,0.0,0.0
MO,2005,178.82,0.0,1.0,2564.06,0.0,0.0
IA,2005,3368.09,0.0,0.0,9272.88,0.0,0.0
MN,2005,1666.18,0.0,0.0,5212.82,0.0,0.0
WI,2005,1757.12,0.0,0.0,1253.7,0.0,0.0
IL,2005,2970.74,0.0,0.0,8870.42,0.0,0.0
IN,2005,1313.54,0.0,1.0,4500.96,0.0,0.0
KY,2005,255.58,0.0,1.0,881.02,0.0,0.0
OH,2005,434.76,0.0,1.0,1963.61,0.0,0.0
MI,2005,642.89,0.0,0.0,943.69,0.0,0.0
ND,2010,,,,1036.85,15.59,0.0
SD,2010,598.05,44.2,1.0,3113.08,10.23,0.0
NE,2010,3101.16,16.94,0.0,5124.92,10.19,0.0
KS,2010,1076.32,25.07,1.0,1906.66,14.31,0.0
MO,2010,237.59,41.95,1.0,2871.91,3.91,0.0
IA,2010,4128.62,19.37,0.0,8959.13,9.04,0.0
MN,2010,2213.87,28.62,0.0,4850.52,12.29,0.0
WI,2010,1750.82,14.64,0.0,1496.71,21.62,0.0
IL,2010,4097.13,13.56,0.0,8059.49,6.86,0.0
IN,2010,1844.76,41.69,1.0,4002.23,19.3,0.0
KY,2010,,,,963.74,15.61,0.0
OH,2010,365.78,60.27,0.0,2685.65,10.83,0.0
MI,2010,715.57,30.17,0.0,1127.07,22.58,0.0
