masterid,0,1,5,year,STATEFP,COUNTYFP
26141,1.6845778810796676E9,1.4076528079286342E7,1.3524835380834723E7,2007,26,141
26007,1.4127921443038464E9,2.7275386419743318E7,1.3650814534773761E7,2007,26,007
26001,1.7396870083308344E9,7865048.196838379,1938925.2839355469,2007,26,001
26033,3.7862095342669096E9,4980.003601074219,,2007,26,033
26135,1.4728214732163146E9,910042.9805908203,1023115.021484375,2007,26,135
26119,1.4136057542187095E9,1.0904716059316836E7,6116516.049819049,2007,26,119
26031,1.8709236039332821E9,2977400.7850341797,526707.5909521963,2007,26,031
26137,1.3412668722485464E9,5725734.912176873,2901804.5795898438,2007,26,137
26009,1.227073581438612E9,1.7688442880273916E7,6825910.218505859,2007,26,009
26029,8.920587961439935E8,1.0880325543620272E7,911642.6213989258,2007,26,029
26047,1.1897897976950903E9,6142935.331665039,510002.74560546875,2007,26,047
26097,2.4731287004200606E9,596177.6344604492,45551.0908203125,2007,26,097
26003,1.993599020356124E9,787727.627746582,56046.259338378906,2007,26,003
26083,1.2611682226614914E9,4275.67333984375,,2007,26,083
26095,2.361554573369267E9,1028163.5150756836,20528.951721191406,2007,26,095
26153,3.0902664468786263E9,258178.63775634766,386520.2081298828,2007,26,153
26055,1.1289345658948216E9,1.522577106633205E7,5307801.084228516,2007,26,055
26089,7.30517374481333E8,6109048.830200195,2168495.584716797,2007,26,089
26041,2.512024283965934E9,1.0738472741745174E7,2730137.614932311,2007,26,041
55029,9.929110229669857E8,9.884216948070475E7,1.1953316457824707E7,2007,55,029
26109,2.6348062301195555E9,5.389494390583567E7,2996558.3192749023,2007,26,109
55075,3.5303032015291014E9,1.4803314973405713E8,1.1676030587811878E7,2007,55,075
26103,4.748255916104065E9,1088887.7289419137,305367.96111605776,2007,26,103
26013,2.320246017092614E9,289481.8234863281,10465.580993652344,2007,26,013
26061,2.54750596783336E9,153665.18426513672,17211.518188476562,2007,26,061
26071,3.089459078466673E9,403490.47257391235,192662.03253173828,2007,26,071
26043,1.9990693359125364E9,1984571.050354004,628675.2399291992,2007,26,043
55037,1.28001331856112E9,1047210.8918040557,76483.37957763672,2007,55,037
55083,2.3041266451987376E9,2.90946422914574E8,3.527267548255472E7,2007,55,083
55041,2.681439397324623E9,1647733.8324391085,678555.594543457,2007,55,041
55078,9.440315848825144E8,709374.7980818205,10820.986694335938,2007,55,078
55067,2.190643755729439E9,9.013112854093999E7,1.8200654009399414E7,2007,55,067
55125,2.41074815384017E9,519999.7632446289,825421.3154907227,2007,55,125
26053,2.894363179657319E9,2479.1528930664062,,2007,26,053
55085,3.072141542451855E9,5231558.481720809,2080666.5120239258,2007,55,085
55115,1.9211773934859147E9,3.725276352513465E8,3.710033059179664E7,2007,55,115
55073,3.4334759420440187E9,5.702590977418215E8,7.317383668982412E7,2007,55,073
55069,2.282808902615664E9,4.949851551817436E7,1.0286355351745605E7,2007,55,069
55051,2.0158727805175738E9,1048297.4611036113,94271.9423828125,2007,55,051
26131,3.4069946122175603E9,1238.5419921875,,2007,26,131
27031,3.8924103319630733E9,1821.1458129882812,7278.60009765625,2007,27,031
55003,2.4936775640115767E9,4693535.264529718,110280.15008544922,2007,55,003
27075,5.657657442966393E9,6747.657409667969,11000.26904296875,2007,27,075
27137,1.6496346071841043E10,165803.52734375,455296.92181396484,2007,27,137
55007,3.823671720869972E9,6641835.430053232,492546.8540649414,2007,55,007
55099,3.276934442066783E9,1.5649342883313706E7,875836.1547851562,2007,55,099
55119,2.3204721368967886E9,2.0532692702317065E8,2.2793281711744837E7,2007,55,119
55019,2.5839062356819057E9,5.226914786284014E8,4.8468319678127155E7,2007,55,019
55107,2.280057680226913E9,1.192749220039321E8,9702588.723053578,2007,55,107
55017,2.1463852796280181E9,4.794287884613054E8,4.244247922970258E7,2007,55,017
55113,3.316004219295557E9,2.259165683746027E7,2514749.3734571273,2007,55,113
55129,2.1051893624768367E9,4.1415710531360105E7,3522674.5469970703,2007,55,129
55031,3.420535460109159E9,773899.200378418,1235.607177734375,2007,55,031
55005,1.8608500729983506E9,3.5066337702575564E8,5.8995281536290064E7,2007,55,005
55033,1.6760109949924471E9,4.703478660547626E8,7.9208508396768E7,2007,55,033
55095,2.150747779093594E9,2.4681474038079932E8,4.120224424244816E7,2007,55,095
55109,1.4668417269842896E9,3.8760593141170096E8,3.699256723156235E7,2007,55,109
55013,2.1427136399002857E9,6.058757261546512E7,7773801.697753906,2007,55,013
27115,3.6075885097278004E9,4.7402027326520614E7,3.473014010698816E7,2007,27,115
27017,2.2558688651189585E9,985763.7269287109,1108042.6642144895,2007,27,017
27061,7.146423695906336E9,2119095.12109375,3814997.430908203,2007,27,061
27001,4.831465161022759E9,4840729.674083036,1.6734677575745348E7,2007,27,001
27021,5.473976586711542E9,9187858.49680104,1.8450712583357986E7,2007,27,021
27035,2.787039004882647E9,1.4672363727704216E7,1.4212018846459482E7,2007,27,035
27095,1.3972949152682414E9,5.613326289745353E7,5.329332252693541E7,2007,27,095
27097,2.712012689855388E9,1.1834716794812037E8,1.3100465897606993E8,2007,27,097
27065,1.317257930043745E9,2.399376387375751E7,3.379366577286976E7,2007,27,065
27025,9.515197935071619E8,9.522455604685801E7,6.539377014653057E7,2007,27,025
27059,9.472987379433588E8,1.0734528853066318E8,1.0136682961139348E8,2007,27,059
27163,9.418295836725017E8,6.9659979390625E7,3.888659096275611E7,2007,27,163
