system:index,0,1,5,DRAWSEQ,STATE_ABBR,STATE_FIPS,STATE_NAME,SUB_REGION,area,groups,year,.geo
0000b70c08860245e779,2.7244879376470585E9,3.0600782188235292E9,3.788645629411764E9,50,MI,26,Michigan,East North Central,7.25558E7,"[{group=0, sum=2.7244879376470585E9}, {group=1, sum=3.0600782188235292E9}, {group=5, sum=3.788645629411764E9}]",2001,
00001de09675e4433d23,3.0309207635294113E9,8.08822460470588E9,3.4179921423529415E9,8,WI,55,Wisconsin,East North Central,7.09415E7,"[{group=0, sum=3.0309207635294113E9}, {group=1, sum=8.08822460470588E9}, {group=5, sum=3.4179921423529415E9}]",2001,
0000c013263eddb99a68,2.360951170588235E9,3.335028388235294E9,1.6884564074117643E10,11,MN,27,Minnesota,West North Central,1.13537E8,"[{group=0, sum=2.360951170588235E9}, {group=1, sum=3.335028388235294E9}, {group=5, sum=1.6884564074117643E10}]",2001,
0000adc8ef848c7e0012,1.392439341176471E9,3.5472594352941173E8,8.499574482352941E8,5,ND,38,North Dakota,West North Central,9.90868E7,"[{group=0, sum=1.392439341176471E9}, {group=1, sum=3.5472594352941173E8}, {group=5, sum=8.499574482352941E8}]",2001,
000019d62ac5c6f8eaa0,5.008795584705885E9,3.260199416470589E9,8.980815123529411E9,6,SD,46,South Dakota,West North Central,9.694E7,"[{group=0, sum=5.008795584705885E9}, {group=1, sum=3.260199416470589E9}, {group=5, sum=8.980815123529411E9}]",2001,
00003be65b10ac1113ad,6.5666568423529415E9,7.015541463529412E9,2.699424497647058E9,34,KS,20,Kansas,West North Central,8.60122E7,"[{group=0, sum=6.5666568423529415E9}, {group=1, sum=7.015541463529412E9}, {group=5, sum=2.699424497647058E9}]",2001,
0000d4ebf2622802cfbc,4.502410425882352E9,2.2998923491764698E10,1.1365321976470587E10,16,NE,31,Nebraska,West North Central,8.83966E7,"[{group=0, sum=4.502410425882352E9}, {group=1, sum=2.2998923491764698E10}, {group=5, sum=1.1365321976470587E10}]",2001,
0000c5b52afcd493211f,7.260584117647058E8,1.3420699916470592E10,3.25234377035294E10,14,IA,19,Iowa,West North Central,6.54198E7,"[{group=0, sum=7.260584117647058E8}, {group=1, sum=1.3420699916470592E10}, {group=5, sum=3.25234377035294E10}]",2001,
00002e9462723431f9f4,1.4168257376470587E9,3.1838990435294113E9,6.69626286352941E9,36,MO,29,Missouri,West North Central,7.28638E7,"[{group=0, sum=1.4168257376470587E9}, {group=1, sum=3.1838990435294113E9}, {group=5, sum=6.69626286352941E9}]",2001,
0000ac7b5ba10088ae2b,2.7546113929411764E9,1.909614465176471E10,3.1020402829411766E10,27,IL,17,Illinois,East North Central,6.16458E7,"[{group=0, sum=2.7546113929411764E9}, {group=1, sum=1.909614465176471E10}, {group=5, sum=3.1020402829411766E10}]",2001,
0000ba5c7718496f6eb8,1.7227196117647057E9,9.724210821176472E9,1.4754533131764708E10,22,IN,18,Indiana,East North Central,3.96681E7,"[{group=0, sum=1.7227196117647057E9}, {group=1, sum=9.724210821176472E9}, {group=5, sum=1.4754533131764708E10}]",2001,
00007005eb9cf6f19eba,2.545056169411764E9,3.691731811764706E9,7.549168298823528E9,26,OH,39,Ohio,East North Central,4.5374E7,"[{group=0, sum=2.545056169411764E9}, {group=1, sum=3.691731811764706E9}, {group=5, sum=7.549168298823528E9}]",2001,
00009c6d3d6308c6bc8b,1.4724821682352943E9,1.1623964188235292E9,1.7727501952941177E9,33,KY,21,Kentucky,East South Central,4.11078E7,"[{group=0, sum=1.4724821682352943E9}, {group=1, sum=1.1623964188235292E9}, {group=5, sum=1.7727501952941177E9}]",2001,
