system:index,1,255,5,9,DRAWSEQ,STATE_ABBR,STATE_FIPS,STATE_NAME,SUB_REGION,area,groups,year,.geo
0000b70c08860245e779,3.596988423529412E9,395100.0,4.863502676470589E9,2.559681437647059E9,50,MI,26,Michigan,East North Central,7.25558E7,"[{group=1, sum=3.596988423529412E9}, {group=5, sum=4.863502676470589E9}, {group=9, sum=2.559681437647059E9}, {group=255, sum=395100.0}]",2010,
00001de09675e4433d23,1.1364698181176472E10,704700.0,3.8479090517647057E9,3.75429222E9,8,WI,55,Wisconsin,East North Central,7.09415E7,"[{group=1, sum=1.1364698181176472E10}, {group=5, sum=3.8479090517647057E9}, {group=9, sum=3.75429222E9}, {group=255, sum=704700.0}]",2010,
0000c013263eddb99a68,1.0740823775294117E10,324896.4705882353,1.9268670074117653E10,3.0281522188235292E9,11,MN,27,Minnesota,West North Central,1.13537E8,"[{group=1, sum=1.0740823775294117E10}, {group=5, sum=1.9268670074117653E10}, {group=9, sum=3.0281522188235292E9}, {group=255, sum=324896.4705882353}]",2010,
0000adc8ef848c7e0012,5.168094741176471E8,178200.0,3.6521734094117646E9,2.3799283094117637E9,5,ND,38,North Dakota,West North Central,9.90868E7,"[{group=1, sum=5.168094741176471E8}, {group=5, sum=3.6521734094117646E9}, {group=9, sum=2.3799283094117637E9}, {group=255, sum=178200.0}]",2010,
000019d62ac5c6f8eaa0,4.0384847188235297E9,405000.0,1.0105663051764706E10,4.501503134117647E9,6,SD,46,South Dakota,West North Central,9.694E7,"[{group=1, sum=4.0384847188235297E9}, {group=5, sum=1.0105663051764706E10}, {group=9, sum=4.501503134117647E9}, {group=255, sum=405000.0}]",2010,
00003be65b10ac1113ad,6.047970804705883E9,64800.0,5.26486004117647E9,8.421627296470587E9,34,KS,20,Kansas,West North Central,8.60122E7,"[{group=1, sum=6.047970804705883E9}, {group=5, sum=5.26486004117647E9}, {group=9, sum=8.421627296470587E9}, {group=255, sum=64800.0}]",2010,
0000d4ebf2622802cfbc,1.960536962117647E10,537300.0,1.5476902510588234E10,4.2230887694117646E9,16,NE,31,Nebraska,West North Central,8.83966E7,"[{group=1, sum=1.960536962117647E10}, {group=5, sum=1.5476902510588234E10}, {group=9, sum=4.2230887694117646E9}, {group=255, sum=537300.0}]",2010,
0000c5b52afcd493211f,2.4882705208235287E10,3360268.2352941176,3.328726796117646E10,5.707450588235295E8,14,IA,19,Iowa,West North Central,6.54198E7,"[{group=1, sum=2.4882705208235287E10}, {group=5, sum=3.328726796117646E10}, {group=9, sum=5.707450588235295E8}, {group=255, sum=3360268.2352941176}]",2010,
00002e9462723431f9f4,1.5542886070588236E9,381928.23529411765,8.98234354588235E9,1.1767079047058823E9,36,MO,29,Missouri,West North Central,7.28638E7,"[{group=1, sum=1.5542886070588236E9}, {group=5, sum=8.98234354588235E9}, {group=9, sum=1.1767079047058823E9}, {group=255, sum=381928.23529411765}]",2010,
0000ac7b5ba10088ae2b,2.137280787882353E10,3748500.0,3.2008477655294113E10,2.5800628941176467E9,27,IL,17,Illinois,East North Central,6.16458E7,"[{group=1, sum=2.137280787882353E10}, {group=5, sum=3.2008477655294113E10}, {group=9, sum=2.5800628941176467E9}, {group=255, sum=3748500.0}]",2010,
0000ba5c7718496f6eb8,8.786326810588236E9,2523600.0,1.806021097411764E10,1.4529301058823528E9,22,IN,18,Indiana,East North Central,3.96681E7,"[{group=1, sum=8.786326810588236E9}, {group=5, sum=1.806021097411764E10}, {group=9, sum=1.4529301058823528E9}, {group=255, sum=2523600.0}]",2010,
00007005eb9cf6f19eba,2.4772329211764708E9,7135468.235294118,9.965029750588236E9,2.2937142952941175E9,26,OH,39,Ohio,East North Central,4.5374E7,"[{group=1, sum=2.4772329211764708E9}, {group=5, sum=9.965029750588236E9}, {group=9, sum=2.2937142952941175E9}, {group=255, sum=7135468.235294118}]",2010,
00009c6d3d6308c6bc8b,1.4273017447058823E9,281700.0,2.830044543529412E9,1.336778534117647E9,33,KY,21,Kentucky,East South Central,4.11078E7,"[{group=1, sum=1.4273017447058823E9}, {group=5, sum=2.830044543529412E9}, {group=9, sum=1.336778534117647E9}, {group=255, sum=281700.0}]",2010,
