State,State Code,Year,Crop Type,User's Accuracy,Producer's Accuracy
Iowa,IA,2000,corn,0.764,0.906
Iowa,IA,2000,soybean,0.881,0.757
Iowa,IA,2000,other,0.577,0.369
Iowa,IA,2001,corn,0.805,0.793
Iowa,IA,2001,soybean,0.781,0.779
Iowa,IA,2001,other,0.403,0.452
Iowa,IA,2002,corn,0.823,0.859
Iowa,IA,2002,soybean,0.82,0.826
Iowa,IA,2002,other,0.641,0.431
Iowa,IA,2003,corn,0.694,0.887
Iowa,IA,2003,soybean,0.828,0.595
Iowa,IA,2003,other,0.673,0.471
Iowa,IA,2004,corn,0.85,0.931
Iowa,IA,2004,soybean,0.922,0.826
Iowa,IA,2004,other,0.562,0.535
Iowa,IA,2005,corn,0.827,0.932
Iowa,IA,2005,soybean,0.922,0.772
Iowa,IA,2005,other,0.495,0.608
Iowa,IA,2006,corn,0.788,0.91
Iowa,IA,2006,soybean,0.874,0.735
Iowa,IA,2006,other,0.733,0.603
Iowa,IA,2007,corn,0.95,0.936
Iowa,IA,2007,soybean,0.899,0.919
Iowa,IA,2007,other,0.641,0.714
Iowa,IA,2008,corn,0.961,0.944
Iowa,IA,2008,soybean,0.924,0.94
Iowa,IA,2008,other,0.656,0.808
Iowa,IA,2009,corn,0.917,0.969
Iowa,IA,2009,soybean,0.95,0.883
Iowa,IA,2009,other,0.947,0.692
Iowa,IA,2010,corn,0.923,0.965
Iowa,IA,2010,soybean,0.96,0.89
Iowa,IA,2010,other,0.643,0.844
Iowa,IA,2011,corn,0.937,0.969
Iowa,IA,2011,soybean,0.952,0.903
Iowa,IA,2011,other,0.908,0.913
Iowa,IA,2012,corn,0.902,0.942
Iowa,IA,2012,soybean,0.894,0.841
Iowa,IA,2012,other,0.904,0.833
Iowa,IA,2013,corn,0.94,0.904
Iowa,IA,2013,soybean,0.872,0.92
Iowa,IA,2013,other,0.859,0.88
Iowa,IA,2014,corn,0.94,0.958
Iowa,IA,2014,soybean,0.946,0.918
Iowa,IA,2014,other,0.897,0.904
Iowa,IA,2015,corn,0.949,0.97
Iowa,IA,2015,soybean,0.965,0.923
Iowa,IA,2015,other,0.793,0.92
Iowa,IA,2016,corn,0.936,0.959
Iowa,IA,2016,soybean,0.95,0.923
Iowa,IA,2016,other,0.815,0.757
Iowa,IA,2017,corn,0.945,0.964
Iowa,IA,2017,soybean,0.956,0.916
Iowa,IA,2017,other,0.765,0.839
Iowa,IA,2018,corn,0.896,0.968
Iowa,IA,2018,soybean,0.954,0.86
Iowa,IA,2018,other,0.9,0.874
Illinois,IL,1999,corn,0.816,0.887
Illinois,IL,1999,soybean,0.872,0.817
Illinois,IL,1999,other,0.744,0.612
Illinois,IL,2000,corn,0.776,0.925
Illinois,IL,2000,soybean,0.89,0.749
Illinois,IL,2000,other,0.826,0.65
Illinois,IL,2001,corn,0.75,0.914
Illinois,IL,2001,soybean,0.872,0.704
Illinois,IL,2001,other,0.568,0.384
Illinois,IL,2002,corn,0.841,0.81
Illinois,IL,2002,soybean,0.808,0.816
Illinois,IL,2002,other,0.46,0.652
Illinois,IL,2003,corn,0.802,0.899
Illinois,IL,2003,soybean,0.876,0.76
Illinois,IL,2003,other,0.756,0.764
Illinois,IL,2004,corn,0.804,0.929
Illinois,IL,2004,soybean,0.906,0.706
Illinois,IL,2004,other,0.436,0.686
Illinois,IL,2005,corn,0.766,0.914
Illinois,IL,2005,soybean,0.863,0.692
Illinois,IL,2005,other,0.644,0.517
Illinois,IL,2006,corn,0.83,0.931
Illinois,IL,2006,soybean,0.861,0.84
Illinois,IL,2006,other,0.928,0.459
Illinois,IL,2007,corn,0.93,0.961
Illinois,IL,2007,soybean,0.903,0.889
Illinois,IL,2007,other,0.974,0.655
Illinois,IL,2008,corn,0.931,0.933
Illinois,IL,2008,soybean,0.893,0.893
Illinois,IL,2008,other,0.701,0.681
Illinois,IL,2009,corn,0.948,0.938
Illinois,IL,2009,soybean,0.917,0.939
Illinois,IL,2009,other,0.962,0.862
Illinois,IL,2010,corn,0.929,0.972
Illinois,IL,2010,soybean,0.952,0.88
Illinois,IL,2010,other,0.654,0.708
Illinois,IL,2011,corn,0.903,0.933
Illinois,IL,2011,soybean,0.89,0.881
Illinois,IL,2011,other,0.883,0.744
Illinois,IL,2012,corn,0.916,0.939
Illinois,IL,2012,soybean,0.896,0.867
Illinois,IL,2012,other,0.864,0.792
Illinois,IL,2013,corn,0.942,0.902
Illinois,IL,2013,soybean,0.873,0.928
Illinois,IL,2013,other,0.947,0.888
Illinois,IL,2014,corn,0.952,0.969
Illinois,IL,2014,soybean,0.954,0.938
Illinois,IL,2014,other,0.826,0.745
Illinois,IL,2015,corn,0.935,0.964
Illinois,IL,2015,soybean,0.955,0.917
Illinois,IL,2015,other,0.847,0.862
Illinois,IL,2016,corn,0.935,0.965
Illinois,IL,2016,soybean,0.956,0.926
Illinois,IL,2016,other,0.841,0.755
Illinois,IL,2017,corn,0.923,0.94
Illinois,IL,2017,soybean,0.923,0.917
Illinois,IL,2017,other,0.905,0.704
Illinois,IL,2018,corn,0.91,0.967
Illinois,IL,2018,soybean,0.953,0.913
Illinois,IL,2018,other,0.956,0.683
Indiana,IN,2000,corn,0.801,0.908
Indiana,IN,2000,soybean,0.88,0.762
Indiana,IN,2000,other,0.717,0.665
Indiana,IN,2001,corn,0.826,0.922
Indiana,IN,2001,soybean,0.882,0.825
Indiana,IN,2001,other,0.804,0.562
Indiana,IN,2002,corn,0.857,0.665
Indiana,IN,2002,soybean,0.745,0.862
Indiana,IN,2002,other,0.465,0.671
Indiana,IN,2003,corn,0.799,0.907
